rating_text,rating,foodie_level_num,review_time_friendly,id,likes,review_text
Avoid!,1,2,16 days ago,18972306,0,Not setisfy this restorant ....I ordered butter paneer mashala from busy bee restro ...it's very low quality .....paneer pices mixed with Ch...
Insane!,5,2,16 days ago,18972306,1,In judging my nature I am a bit lazy person so I often use to order food online .... trying alot with almost all the restro in pryagraj ... ...
Insane!,5,2,16 days ago,18972306,2,Stopped in for dinner. Food was very good and reasonably priced. Ordered a steak dinner. It was tender and well seasoned.Excellent eating ex...
Insane!,5,2,16 days ago,18972306,1,Great place to hangout with friends family and loved ones. Best food quality in Allahabad. Please visit and do order chicken pot and chef sp...
Great!,4,6,23 days ago,18930442,4,Hello foodies !! We are here with another update for you from andeywala 💜  We know we are late but we are making come back by giving you ...
Insane!,5,2,26 days ago,18930442,2,Best place to satisfy your egg appetite with many variants that will definately satisfy your palate desires 👌👌 . Pocket friendly Aweso...
Insane!,5,2,one month ago,18930442,2,"A newly opened cafe for egg lovers in Allahabad. Try their best Cheesy Egg Nest, Anda Goli, Eggrian with Masala Lemonade.. Eggrian is a fusi..."
Great!,4,4,one month ago,18930442,1,"I tried the meal and the sandwich.. I totally loved this place by taste, ambience and price.. One should at least give it a try if you want ..."
Great!,4,8,one month ago,18930442,3,This place is located behind Nexa showroom. Ambience was good . I liked the table and  chair designs. Place was really quite.  Food is reall...
Avoid!,1,3,7 days ago,2400279,0,"I ordered Hara Bhara Kebab Sub, it was half eaten and the other half was bland and tasteless barely any veggies and sauces. Dumbest Delivery..."
Average,3,3,29 days ago,2400279,0,I ordered a paneer patty and a maxican patty and what I received was 2 maxican patty. Not expected from u guys. However the sub was great ju...
Blah!,2,2,one month ago,2400279,0,This place generally serves delivers really dry subs which don't have the sauces that were opted for while ordering. I ordered a paneer Tikk...
Blah!,2,3,one month ago,2400279,0,Ordered chicken strip wraps. quality of wrap and veggies should be improved. I think they have sent us stale food while eating i was not get...
Insane!,5,2,one month ago,2400279,0,One of the best subways I’ve visited.  Cleanliness is their top priority.  Taste of paneer tikka and chicken tandoori is amazing.   Loved ...
Great!,4,4,2 months ago,2400455,1,Ambience is ok and the various flavours out ther are awesome cant even decide for a single flavor which one to take among those out their mu...
Great!,4,4,2 months ago,2400455,1,"Good options to choose from. I ordered in a chocolate malt (Nutella), hazelnut cold coffee and banana caramel milkshake. All three tasted go..."
Insane!,5,5,2 months ago,2400455,1,This is my favorite place to visit..Really nice shakes n not that high price..Everyone should visit if u live near this area.. the space is ...
Great!,4,9,3 months ago,2400455,5,"Malt has been serving crunchiest, instantly baked waffles, shakes, coolers and coffee for more than a year now. Everything there has me droo..."
Insane!,5,4,3 months ago,2400455,1,The shakes and waffles are so delicious. The staff is friendly but only disadvantage is lack of space to stand and eat!! A must go for a swe...
Insane!,5,5,5 hours ago,18901221,0,"Recently i visited this place, it has good interior with good music and ambience. Food is also good. Cakes are speciality here. Cakes are of..."
Insane!,5,2,5 hours ago,18901221,0,I happened to visit 7th Heaven on a relative’s recommendation. What pulled me the most was that all their desserts and cakes are fully egg...
Average,3,2,6 days ago,18901221,1,The pastry was good and soft but the pizza I ordered was cold although it tasted good but I m sure if was hot it would have tasted much bett...
Insane!,5,9,10 days ago,18901221,1,"Visit first time, first impressions is last impression and I must say I m highly impressed with the taste and service and Ambience of 7th He..."
Insane!,5,2,13 days ago,18901221,3,"This is the best bakery in town, cakes are amazing it’s mouthwatering indeed! Great service, the staff looks after you very well especiall..."
Great!,4,3,21 days ago,2400233,0,"If you are at Allahabad, then this place is a definite visit for breakfast. Everything is freshly prepared and in ghee. The only issue is th..."
