"srno","id","name","url","address","locality","city","city_id","latitude","longitude","locality_verbose","cuisines","average_cost_for_two","price_range","currency","aggregate_rating","rating_text","rating_color","votes","has_fake_reviews","has_online_delivery","is_table_reservation_supported","has_table_booking"
"532","18875116","The Foodies Bar ","https://www.zomato.com/mathura/the-foodies-bar-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Moti Manzil, Near Dominos Building, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4942408435","77.6546877623","Mathura Locality, Mathura","Fast Food, Cafe, Burger, Beverages, American","25","1","Rs.","0","Not rated","CBCBC8","2","0","1","0","0"
"533","18974175","Kaku Pan Palace ","https://www.zomato.com/mathura/kaku-pan-palace-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Holi Gate, Near Quality Tiraha Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4945266532","77.6851482689","Mathura Locality, Mathura","Paan","150","1","Rs.","0","Not rated","CBCBC8","1","0","0","0","0"
"534","18973191","Dosa Plaza","https://www.zomato.com/mathura/dosa-plaza-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Hotel Divinity, Deeg Gate- Masani Road, Opposite Roopam Cinema, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5073929758","77.6721335202","Mathura Locality, Mathura","South Indian, North Indian, Chinese","400","2","Rs.","0","Not rated","CBCBC8","2","0","1","0","0"
"535","18974007","Pizza Hut","https://www.zomato.com/mathura/pizza-hut-1-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Shop U1-U6 Highway Plaza, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4937000000","77.6548000000","Mathura Locality, Mathura","Italian, Pizza, Fast Food","450","2","Rs.","0","Not rated","CBCBC8","2","0","0","0","0"
"536","18973615","Kaku Paan Palace","https://www.zomato.com/mathura/kaku-paan-palace-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Vikas bazar ke samne mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4946869562","77.6850010827","Mathura Locality, Mathura","Paan","50","1","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"537","18973202","Giani's Icecream & Desserts","https://www.zomato.com/mathura/gianis-icecream-desserts-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Hotel Divinity, Deeg Gate- Masani Road, Opposite Roopam Cinema, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5073929758","77.6721335202","Mathura Locality, Mathura","Ice Cream, Beverages","250","1","Rs.","0","Not rated","CBCBC8","2","0","1","0","0"
"538","18973196","Oven 180 Degree","https://www.zomato.com/mathura/oven-180-degree-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","oppo shri ji Baba ashram bhuteshwar road., Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5005989693","77.6695907861","Mathura Locality, Mathura","Fast Food, Bakery","250","1","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"539","18973618","Gauri Payal Restaurant ","https://www.zomato.com/mathura/gauri-payal-restaurant-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Junction road, DAMPIER NAGAR, opp. Andhra bank. Mathura-281001, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4931454802","77.6792923361","Mathura Locality, Mathura","South Indian, North Indian, Modern Indian, Indian, Chinese","350","2","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"540","18971574","Pie Pizza ","https://www.zomato.com/mathura/pie-pizza-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Govind Nagar, Mathura Near Satyam Hotel, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5090320868","77.6714783907","Mathura Locality, Mathura","Sandwich, Pizza, Beverages","300","1","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"541","18973197","Krishna Quality Restaurant and Fast Food ","https://www.zomato.com/mathura/krishna-quality-restaurant-and-fast-food-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Shree Krishna Janma Sthan, Gate 1, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5049146365","77.6698603481","Mathura Locality, Mathura","North Indian, Fast Food","200","1","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"542","18968591","Shankar Juice Bandar ","https://www.zomato.com/mathura/shankar-juice-bandar-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Krishna Nagar, Near Patanjali Office Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5009210443","77.6598838717","Mathura Locality, Mathura","Juices","100","1","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"543","18875899","Chaichowk","https://www.zomato.com/mathura/chaichowk-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Highway Plaza, National Highway-2, Krishna Nagar, Mathura - 281004, Near Mandi Chaurha, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4932326219","77.6547856629","Mathura Locality, Mathura","Chinese, Continental, Sandwich, North Indian, Fast Food, Mexican, Desserts, South Indian","350","2","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"544","18875807","Pizza Kingdom","https://www.zomato.com/mathura/pizza-kingdom-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Shop No:-190/2, Main Road Krishna Nagar, Krishna Nagar, Mathura - 281004, Above P.C.Jewelers, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5010420824","77.6609993353","Mathura Locality, Mathura","Pizza, North Indian, Chinese","300","1","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"545","18972466","Cake Point ","https://www.zomato.com/mathura/cake-point-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Laxmi Nagar Chauraha Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5120669945","77.7070407942","Mathura Locality, Mathura","Fast Food, Chinese","100","1","Rs.","0","Not rated","CBCBC8","3","0","0","0","0"
"546","18971575","Ice Spice","https://www.zomato.com/mathura/ice-spice-1-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","hotel sheel Gopal, opportunity museum dampier Nagar., Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4948178156","77.6766597480","Mathura Locality, Mathura","Italian, Fast Food, Chinese, Beverages","300","1","Rs.","0","Not rated","CBCBC8","0","0","1","0","0"
"547","18967110","Rajput Food","https://www.zomato.com/mathura/rajput-food-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Near New Bus stand Bhuteshwar Road, Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4916943972","77.6774687693","Mathura Locality, Mathura","Fast Food","100","1","Rs.","0","Not rated","CBCBC8","0","0","1","0","0"
"548","18972683","Pandit Foods ","https://www.zomato.com/mathura/pandit-foods-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Moholi Road Bus Stand Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4891868543","77.6776528358","Mathura Locality, Mathura","Fast Food, Chinese","100","1","Rs.","0","Not rated","CBCBC8","1","0","0","0","0"
"549","18875984","Agarwal Restaurant","https://www.zomato.com/mathura/agarwal-restaurant-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Junction Road, Krishna Nagar, Mathura - 281004, Near Punjab National Bank, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4893085002","77.6777628064","Mathura Locality, Mathura","","0","1","Rs.","0","Not rated","CBCBC8","1","0","0","0","0"
"550","18973404","The Chocolate Room","https://www.zomato.com/mathura/the-chocolate-room-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","146/13, Masani raod, deeg gate mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5078051348","77.6718706638","Mathura Locality, Mathura","Sandwich, Mexican, Fast Food, Desserts, Burger, Beverages","250","1","Rs.","0","Not rated","CBCBC8","0","0","1","0","0"
"551","18973049","Bansal Misthan Bhandar ","https://www.zomato.com/mathura/bansal-misthan-bhandar-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Dhauli Pyau Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4770361666","77.6754416898","Mathura Locality, Mathura","Bakery, Fast Food, Mithai","300","1","Rs.","0","Not rated","CBCBC8","1","0","0","0","0"
