cuisines,has_online_delivery,is_book_form_web_view,votes,name,switch_to_order_menu,has_table_booking,currency,rating_text,city_id,average_cost_for_two,has_fake_reviews,price_range,address,locality_verbose,aggregate_rating,latitude,country_id,is_table_reservation_supported,rating_color,url,longitude
"North Indian, South Indian, Chinese, Continental",1,0,95,Chill Lounge ,0,0,Rs.,Good,24,800,0,3,"Stretchy Road, Near Vishal Mega Mart, Civil Lines, Allahabad","Civil Lines, Allahabad",3.6,25.4519407497,1,0,9ACD32,https://www.zomato.com/allahabad/chill-lounge-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8326507509
Fast Food,1,0,45,Harish Bhojanalaya & Restaurant,0,0,Rs.,Good,24,300,0,2,"Near Girls High School, Dr Lohia Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4527929493,1,0,9ACD32,https://www.zomato.com/allahabad/harish-bhojanalaya-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8288242444
Fast Food,1,0,80,Tuck In,0,0,Rs.,Good,24,250,0,2,"22-A, Sardar Patel Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.7,25.4541788581,1,0,9ACD32,https://www.zomato.com/allahabad/tuck-in-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8349688500
"North Indian, South Indian, Chinese, Continental, Fast Food, Sandwich",1,0,70,Indish,0,0,Rs.,Good,24,500,0,3,"Lifafa, Patrika Crossing, Near Rama Medical Store, Stanly Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.7,25.4546462733,1,0,9ACD32,https://www.zomato.com/allahabad/indish-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8411774933
"Cafe, Fast Food",1,0,55,Cafe Ballon D'OR,0,0,Rs.,Good,24,500,0,3,"Indalpur Road, Naini, Allahabad","Naini, Allahabad",3.8,25.4096498502,1,0,9ACD32,https://www.zomato.com/allahabad/cafe-ballon-dor-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8450073525
"Biryani, Mughlai",1,0,145,Allahabad Biryani Centre,0,0,Rs.,Good,24,400,0,2,"7/E, Shankar Tower, Clive Road, Near Jwala Devi Inter collage, Civil Lines, Allahabad. Opp. Samsung mobile service centre.","Civil Lines, Allahabad",3.8,25.4549446106,1,0,9ACD32,https://www.zomato.com/allahabad/allahabad-biryani-centre-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8309326172
"Pizza, Fast Food, Beverages",1,0,41,The London Shakes And Cafe,0,0,Rs.,Good,24,300,0,2,"Shop 11, Tulsiani Grace Mall, Civil Lines, Allahabad","Civil Lines, Allahabad",3.9,25.4542580000,1,0,9ACD32,https://www.zomato.com/allahabad/the-london-shakes-and-cafe-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8333300000
"North Indian, South Indian, Chinese, Fast Food",1,0,57,Rajwada's,0,0,Rs.,Good,24,700,0,3,"203/170/1, Near Anand Bhawan, Colonel Ganj, Allahabad","Colonel Ganj, Allahabad",3.6,25.4608184660,1,0,9ACD32,https://www.zomato.com/allahabad/rajwadas-colonel-ganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8594292551
"North Indian, Chinese, Mughlai",1,0,50,Khana Khazana Restaurant & Cafe,0,0,Rs.,Good,24,450,0,2,"Plot 25, Near Javed Habib, Tashkand Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4555702209,1,0,9ACD32,https://www.zomato.com/allahabad/khana-khazana-restaurant-cafe-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8336334229
"North Indian, South Indian, Chinese",1,0,55,Reserveseats,0,0,Rs.,Good,24,700,0,3,"12/22/1, Master Zaharool Hasan Road, Mufordganj, Katra, Allahabad","Katra, Allahabad",3.8,25.4726282705,1,0,9ACD32,https://www.zomato.com/allahabad/reserveseats-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8573153391
